지점,지점명,일시,강수량(mm),적설(cm),3시간신적설(cm)
108,서울,2017-01-31 09:00,,1.5,
108,서울,2017-01-31 10:00,,1.5,
108,서울,2017-01-31 11:00,,1.5,
108,서울,2017-01-31 12:00,,1.4,
108,서울,2017-01-31 13:00,,1.4,
108,서울,2017-01-31 14:00,,1.3,
108,서울,2017-01-31 15:00,,1,
108,서울,2017-01-31 16:00,,.9,
108,서울,2017-01-31 17:00,,.8,
108,서울,2017-01-31 18:00,,.8,
108,서울,2017-01-31 19:00,,.8,
108,서울,2017-01-31 20:00,,.8,
108,서울,2017-01-31 21:00,,.8,
108,서울,2017-01-31 22:00,,.8,
108,서울,2017-01-31 23:00,,.8,
108,서울,2017-02-01 00:00,,.8,
108,서울,2017-02-01 01:00,,.8,
108,서울,2017-02-01 02:00,,.8,
108,서울,2017-02-01 03:00,,.8,
108,서울,2017-02-01 04:00,,.8,
108,서울,2017-02-01 05:00,,.8,
108,서울,2017-02-01 06:00,,.8,
108,서울,2017-02-01 07:00,,.8,
108,서울,2017-02-01 08:00,,.8,
108,서울,2017-02-01 09:00,,.7,
108,서울,2017-02-01 10:00,,.6,
108,서울,2017-02-01 11:00,,.5,
108,서울,2017-02-01 12:00,,.4,
108,서울,2017-02-05 09:00,0,,
108,서울,2017-02-05 12:00,.4,,
108,서울,2017-02-05 15:00,.1,,
108,서울,2017-02-05 18:00,0,,
108,서울,2017-02-17 00:00,0,,
108,서울,2017-02-17 03:00,3.5,,
108,서울,2017-02-17 06:00,.5,,
108,서울,2017-02-19 15:00,0,,
108,서울,2017-02-19 18:00,0,,
108,서울,2017-02-19 21:00,.4,,
108,서울,2017-02-20 00:00,.6,,
108,서울,2017-02-20 03:00,.5,,
108,서울,2017-02-20 06:00,0,,
108,서울,2017-02-22 09:00,0,,
108,서울,2017-02-22 12:00,.9,,
108,서울,2017-02-22 15:00,2.2,,
108,서울,2017-02-22 18:00,1.7,,
108,서울,2017-02-22 21:00,.3,,
108,서울,2017-03-01 18:00,.5,,
108,서울,2017-03-01 21:00,3.5,,
108,서울,2017-03-02 00:00,1,,
108,서울,2017-03-02 03:00,.5,,
108,서울,2017-03-05 21:00,0,,
108,서울,2017-03-06 00:00,.5,,
108,서울,2017-03-07 06:00,0,,
108,서울,2017-03-08 15:00,0,,
108,서울,2017-03-12 21:00,0,,
108,서울,2017-03-13 00:00,0,,
108,서울,2017-03-27 15:00,0,,
108,서울,2017-03-27 18:00,.4,,
108,서울,2017-03-31 06:00,0,,
108,서울,2017-03-31 09:00,.2,,
108,서울,2017-03-31 12:00,0,,
108,서울,2017-03-31 15:00,1.3,,
108,서울,2017-03-31 18:00,0,,
108,서울,2017-04-01 16:00,1,,
108,서울,2017-04-01 17:00,0,,
108,서울,2017-04-05 06:00,0,,
108,서울,2017-04-05 07:00,0,,
108,서울,2017-04-05 08:00,0,,
108,서울,2017-04-05 09:00,.2,,
108,서울,2017-04-05 11:00,0,,
108,서울,2017-04-05 12:00,.1,,
108,서울,2017-04-05 13:00,.1,,
108,서울,2017-04-05 14:00,.1,,
108,서울,2017-04-05 15:00,2,,
108,서울,2017-04-05 16:00,4.5,,
108,서울,2017-04-05 17:00,4.5,,
108,서울,2017-04-05 18:00,2.5,,
108,서울,2017-04-05 19:00,4,,
108,서울,2017-04-05 20:00,2,,
108,서울,2017-04-05 21:00,2.5,,
108,서울,2017-04-05 22:00,3,,
108,서울,2017-04-05 23:00,6,,
108,서울,2017-04-06 00:00,6,,
108,서울,2017-04-06 01:00,2,,
108,서울,2017-04-06 02:00,0,,
108,서울,2017-04-06 03:00,.5,,
108,서울,2017-04-06 04:00,0,,
108,서울,2017-04-06 05:00,0,,
108,서울,2017-04-06 06:00,0,,
108,서울,2017-04-06 07:00,.5,,
108,서울,2017-04-06 08:00,0,,
108,서울,2017-04-06 09:00,0,,
108,서울,2017-04-06 10:00,0,,
108,서울,2017-04-06 17:00,0,,
108,서울,2017-04-06 18:00,0,,
108,서울,2017-04-08 23:00,.2,,
108,서울,2017-04-09 00:00,.3,,
108,서울,2017-04-09 01:00,.1,,
108,서울,2017-04-09 02:00,.4,,
108,서울,2017-04-09 03:00,0,,
108,서울,2017-04-09 04:00,0,,
108,서울,2017-04-09 05:00,0,,
108,서울,2017-04-13 13:00,0,,
108,서울,2017-04-13 14:00,0,,
108,서울,2017-04-14 12:00,0,,
108,서울,2017-04-14 13:00,1.5,,
108,서울,2017-04-14 14:00,4,,
108,서울,2017-04-14 16:00,.5,,
108,서울,2017-04-14 17:00,0,,
108,서울,2017-04-14 18:00,0,,
108,서울,2017-04-17 10:00,0,,
108,서울,2017-04-17 11:00,.1,,
108,서울,2017-04-17 12:00,.9,,
108,서울,2017-04-17 13:00,.5,,
108,서울,2017-04-17 14:00,2,,
108,서울,2017-04-17 15:00,1.5,,
108,서울,2017-04-17 16:00,.5,,
108,서울,2017-04-18 13:00,3,,
108,서울,2017-04-18 14:00,1,,
108,서울,2017-04-18 15:00,2.5,,
108,서울,2017-04-18 16:00,1,,
